OBJECTID,LAD21CD,LAD21NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Leng,SHAPE_Area
1,E06000001,Hartlepool,447160,531474,-1.270179986953735,54.67613983154297,70995.72293306683,93717029.90706965
2,E06000002,Middlesbrough,451141,516887,-1.210989952087402,54.54467010498047,44481.441384951846,53881562.628025025
3,E06000003,Redcar and Cleveland,464361,519597,-1.006080031394958,54.56752014160156,96704.03152538021,245069509.42356962
4,E06000004,Stockton-on-Tees,444940,518183,-1.306640028953552,54.55691146850586,123408.78809567598,204932952.7089874
5,E06000005,Darlington,428029,515648,-1.568349957466125,54.53533935546875,107203.1523344171,197477768.12826413
6,E06000006,Halton,354246,382146,-2.688529968261719,53.3342399597168,77770.93380014371,79084032.61571267
7,E06000007,Warrington,362744,388456,-2.561670064926147,53.39162826538086,114690.68684576062,180627982.92339498
8,E06000008,Blackburn with Darwen,369490,422806,-2.463599920272827,53.700801849365234,65284.95231773771,137022079.42208558
9,E06000009,Blackpool,332819,436635,-3.021990060806274,53.82164001464844,34483.47996553542,34870886.450042695
10,E06000010,"Kingston upon Hull, City of",511894,431650,-0.303820013999939,53.76919937133789,64681.10407827604,71583611.11532849
11,E06000011,East Riding of Yorkshire,488056,443597,-0.661949992179871,53.88111877441406,504081.63920616114,2404771586.812771
12,E06000012,North East Lincolnshire,523465,404564,-0.139109998941422,53.52326965332031,93248.48651988669,192622955.9119215
13,E06000013,North Lincolnshire,497800,410993,-0.524070024490356,53.586429595947266,244547.83749127117,846540130.3580738
14,E06000014,York,460864,452589,-1.073750019073486,53.9658203125,101947.38773363864,271931825.2294754
15,E06000015,Derby,435609,335375,-1.471889972686768,52.91463851928711,50037.5273504427,78031123.6712438
16,E06000016,Leicester,458946,304594,-1.130399942398071,52.635921478271484,51931.70733683458,73342071.69791746
17,E06000017,Rutland,492992,308655,-0.626299977302551,52.66764831542969,125884.93201930281,393748906.93066776
18,E06000018,Nottingham,456082,339969,-1.166669964790344,52.95418930053711,58724.03276757626,74613555.34191945
19,E06000019,"Herefordshire, County of",349434,242834,-2.739310026168823,52.081539154052734,349889.25997513323,2179709442.7288685
20,E06000020,Telford and Wrekin,367035,313057,-2.489409923553467,52.714168548583984,118779.65675785269,290313543.5261403
21,E06000021,Stoke-on-Trent,389438,346652,-2.158879995346069,53.01707077026367,63974.450651275154,93448482.20593612
22,E06000022,Bath and North East Somerset,366217,161999,-2.486540079116821,51.356040954589844,141684.56970806466,351123212.4978466
23,E06000023,"Bristol, City of",359990,174846,-2.577419996261597,51.47114944458008,108825.70191238314,109666791.49648985
24,E06000024,North Somerset,347614,166718,-2.754379987716675,51.39706039428711,154770.1712477453,374637225.9376233
25,E06000025,South Gloucestershire,367559,183198,-2.469219923019409,51.546730041503906,142552.7567693882,497050934.2710388
26,E06000026,Plymouth,249945,58255,-4.112969875335693,50.40494155883789,92645.28594711308,79849713.86885571
27,E06000027,Torbay,289730,64613,-3.555229902267456,50.47092056274414,77910.70099533568,62886694.463787474
28,E06000030,Swindon,418551,186564,-1.733669996261597,51.57762908935547,103014.61956982523,230093376.53508446
29,E06000031,Peterborough,517372,300777,-0.268739998340607,52.592140197753906,112677.96720628884,343378156.9718014
30,E06000032,Luton,508606,222559,-0.423189997673035,51.891021728515625,34569.602626602304,43352491.435106926
31,E06000033,Southend-on-Sea,587777,186837,0.706923007965088,51.549171447753906,57783.25337814208,41673935.68016103
32,E06000034,Thurrock,562123,181590,0.334861010313034,51.509979248046875,115992.12820590191,163837050.3223479
33,E06000035,Medway,578207,175198,0.56317400932312,51.44771957397461,249514.82476332563,193714249.22540915
34,E06000036,Bracknell Forest,488169,168792,-0.733630001544952,51.41130065917969,62507.9039338433,109384214.69757256
35,E06000037,West Berkshire,450575,172095,-1.273640036582947,51.44559097290039,166801.58309744718,704169399.4687732
36,E06000038,Reading,470226,173154,-0.990710020065308,51.45301818847656,39330.6369676029,40397992.560540296
37,E06000039,Slough,498920,179246,-0.576170027256012,51.503501892089844,44181.393234305986,32542009.050940823
38,E06000040,Windsor and Maidenhead,492079,176541,-0.675409972667694,51.48033905029297,114829.07170767635,198427168.80583987
39,E06000041,Wokingham,476624,169902,-0.899349987506866,51.42295837402344,86865.58990321617,178965482.69584766
40,E06000042,Milton Keynes,486408,242308,-0.740700006484985,52.072410583496094,102960.28981881501,308626791.3189783
41,E06000043,Brighton and Hove,530279,106850,-0.150790005922318,50.846500396728516,59519.38440527925,82832959.11016126
42,E06000044,Portsmouth,465619,101352,-1.070060014724731,50.80799865722656,62643.789485018635,40389409.30583789
43,E06000045,Southampton,442303,113700,-1.399520039558411,50.921199798583984,61543.9971629534,49880646.99025087
44,E06000046,Isle of Wight,447183,85949,-1.333660006523132,50.67129135131836,210138.3763517261,379620110.59848696
45,E06000047,County Durham,410381,532242,-1.840499997138977,54.68513107299805,315062.78058915754,2231457246.642489
46,E06000049,Cheshire East,380510,363462,-2.29298996925354,53.167930603027344,301224.74970264244,1166357380.9931805
47,E06000050,Cheshire West and Chester,353097,363145,-2.702980041503906,53.163360595703125,335614.8118390881,920018000.2484272
48,E06000051,Shropshire,350227,302960,-2.736670017242432,52.62211990356445,580649.3577272107,3197275382.0750694
49,E06000052,Cornwall,212497,64493,-4.642539978027344,50.450218200683594,1241734.3205624241,3548939236.522912
50,E06000053,Isles of Scilly,91327,11447,-6.302169799804688,49.92332077026367,117979.3390465418,16317753.952927768
51,E06000054,Wiltshire,405209,158863,-1.926609992980957,51.32883071899414,402006.28675909084,3255338119.7980504
52,E06000055,Bedford,505721,256463,-0.454629987478256,52.19628143310547,131721.08351793117,476408301.25779605
53,E06000056,Central Bedfordshire,504615,234492,-0.477539986371994,51.99903106689453,232692.31677881346,715665302.1866951
54,E06000057,Northumberland,395322,600699,-2.07522988319397,55.30036926269531,605421.9935402336,5032268631.476766
55,E06000058,"Bournemouth, Christchurch and Poole",410815,94066,-1.848070025444031,50.746089935302734,169171.62978485928,162070068.52285597
56,E06000059,Dorset,370871,99796,-2.414669990539551,50.79697036743164,594357.6567182263,2490956587.090013
57,E06000060,Buckinghamshire,482506,208561,-0.805689990520477,51.76966094970703,361852.6407174927,1564949149.7613013
58,E06000061,North Northamptonshire,493590,281718,-0.625039994716644,52.42546081542969,210629.48617393916,986594568.0731006
59,E06000062,West Northamptonshire,467187,263879,-1.016819953918457,52.268978118896484,263792.0539522393,1380395592.6181133
60,E07000008,Cambridge,545420,257901,0.126435995101929,52.20016860961914,37170.35821362351,40698797.944165654
61,E07000009,East Cambridgeshire,555576,275765,0.283149003982544,52.357879638671875,234187.59690780006,651286027.2541735
62,E07000010,Fenland,536361,294959,0.009015999734402,52.535438537597656,187881.71300912945,546450060.7296516
63,E07000011,Huntingdonshire,521008,274269,-0.224700003862381,52.3531494140625,223337.67217838875,912455234.1706959
64,E07000012,South Cambridgeshire,543295,247586,0.091017000377178,52.10805130004883,257078.04754240176,901624805.6575259
65,E07000026,Allerdale,317520,532997,-3.280900001525879,54.68524169921875,326488.8235912542,1258309834.5407948
66,E07000027,Barrow-in-Furness,321741,474165,-3.199899911880493,54.157310485839844,146480.66651763534,77896997.2619871
67,E07000028,Carlisle,348576,565154,-2.804980039596558,54.978328704833984,278392.31932142796,1038297606.568811
68,E07000029,Copeland,310871,508739,-3.37664008140564,54.46617126464844,252311.32563438904,737632448.4119364
69,E07000030,Eden,359636,526396,-2.626780033111572,54.63106918334961,268743.6568022739,2156471321.4142613
70,E07000031,South Lakeland,349265,489555,-2.781080007553101,54.29907989501953,381795.0020974088,1554926441.637373
71,E07000032,Amber Valley,436166,348084,-1.46219003200531,53.028839111328125,109036.16182269536,265437866.7909816
72,E07000033,Bolsover,448666,371548,-1.272279977798462,53.23875045776367,96239.00597955332,160334646.96074742
73,E07000034,Chesterfield,440049,373359,-1.401149988174438,53.2557487487793,52617.64619276333,66035293.26606296
